text,user.id,label
RT @Kitchy65: #Strongerin  Don't trust unelected beaurocrats with your children's future..#Brexit https://t.co/qyjpHIUIAT,7.23251E+17,Remain
RT @Stewart4Pboro: Check out the new #VoteLeave Facebook page launched today https://t.co/V2wPWYX0f1 #Brexit,7.23252E+17,Leave
RT @richarddlewis: All set for the referendum... #StrongerIn https://t.co/cdZHh8OSEN,7.23251E+17,Remain
RT @lucille2067: https://t.co/Lgg2ErrmVgâ€_  Biggest poll yet gives #Brexit a 6 point lead! @BorisJohnson #VoteLeave #borisjohnson https://t.â€_,7.23252E+17,Leave
RT @StrongerInPress: Bank of England governor Mark Carney is clear: Leaving EU would lead mean lower growth and a plummeting pound #Strongeâ€_,7.23251E+17,Remain
"RT @StrongerIn: In his own book, Boris Johnson says: the EU ""has helped deliver a period of peace &amp; prosperity"" #StrongerIn https://t.co/cQâ€_",7.23251E+17,Remain
"RT @ccblsee: #LeaveEU wants the #UK to be more like #Albania . What does Albania want, @AlbanianMFA @EU_Albania @AlMissionEU ? https://t.coâ€_",7.23252E+17,Leave
"RT @vote_leave: RETWEET: Five questions for @StrongerIN, courtesy of @BorisJohnson. #VoteLeave #TakeControl
https://t.co/yFknJhtGXv",7.23252E+17,Leave
RT @olliewickers: Anything else?_Ÿ˜¡ This is our country and we have the right to decide what we want #brexit #VoteLeave #GREATbritain _Ÿ‡¬_Ÿ‡§ httpâ€_,7.23252E+17,Leave
RT @NicholasTyrone: From yesterday: #LeaveEU post this video on their Facebook page. You might wish to sit down first: https://t.co/HdFJ6qJâ€_,7.23252E+17,Leave
RT @LMJ_112: .@London_First's Rally for Remain - a celebration of Tech London &amp; Europe. #StrongerIn https://t.co/C4rDXIRdE4,7.23251E+17,Remain
"RT @HockingsMartin: Bank warns Brexit may increase unemployment https://t.co/WORidIvVpv

As much as leaving Uk taxpayers with a Â£35billionâ€_",7.23252E+17,Leave
"RT @danielrendall: I thought my SHEEPLE tweet might get retweeted by #VoteLeave types. Did you wonder what ""Racist EU-"" meant? Realised thaâ€_",7.23252E+17,Leave
RT @TCofLondon: The argument for staying in the EU is as weak as piss #VoteLeave #Brexit https://t.co/YkMcrhjDbQ,7.23252E+17,Leave
RT @latticeworkwlth: Brexit trades: anticipating the markets if Britain votes to leave: https://t.co/Uebkl8laKs via @FT #Brexit #BrexitRisks,7.23251E+17,Remain
RT @solschleave: A tale of two campaigns; one of gloom and pessimism and the other of passion and positivity #VoteLeave https://t.co/clSdNQâ€_,7.23252E+17,Leave
RT @Lord_Gabalfa: Spread the Word https://t.co/qhAuxdE8nB #voteleave via @vote_leave,7.23252E+17,Leave
RT @BigBigBen: Daily Heil with a very unbiased EU referendum section. #StrongerIn #Brexit https://t.co/eMkvx7Ip7r,7.23251E+17,Remain
"RT @wdjstraw: When @vote_leave use words like ""hysterical"" for as considered a man as Mark Carney, you know they're losing the argument #Stâ€_",7.23251E+17,Remain
RT @AndNowImagine: Imagine if EFC came out and said its a lie we haven't sacked him_Ÿ˜‚. Now imagine if we #VoteLeave on 23 June,7.23252E+17,Leave
"RT @MegmacPR: #Brexitthemovie, made by a well-known #climatechange denier after 2 US VC's suggested it &amp; gave him Â£50k. Wonder why? #EUrefâ€_",7.23251E+17,Remain
RT @Col_Connaughton: Terrifying Brussels plot to replace OUR police and judges with Euro stooges https://t.co/1LhTKavWQs #EU #brexit #referâ€_,7.23252E+17,Leave
RT @mkpdavies: I was very nearly sick watching the fishing section on #BrexitTheMovie whole communities destroyed by treachery. #VoteLeave,7.23252E+17,Leave
RT @BenPBradshaw: Boris Johnson ducks out of visiting #Exeter after a day of  mishaps on the Vote Leave #blunderbus #StrongerIn https://t.câ€_,7.23251E+17,Remain
"RT @LionelMannering: Cameron announces 'Brexit will ignite an immediate rickets epidemic across the UK""
#Brexit  #VoteLeave #LeaveEU https:â€_",7.23252E+17,Leave
RT @scotstrongerin: Glasgow #StrongerIN subcrawl event tomorrow from 1pm. RSVP here - https://t.co/OhMmjtcDds #EUref #EUreferendum https://â€_,7.23251E+17,Remain
RT @alkathkirk: Imagine if we #VoteLeave on 23 June https://t.co/NVr0VXIRrM,7.23252E+17,Leave
RT @davidpughiow: @IoWBobSeely I don't think it's fear to raise serious concerns about the likely impact on the economy. https://t.co/CEuvjâ€_,7.23251E+17,Remain
RT @marionk93957917: Imagine if we #VoteLeave on 23 June https://t.co/65D1VrQyEl,7.23252E+17,Leave
RT @Brit4Democracy: #StrongerIn Dave? Still think our open borders should #remain? #voteleave https://t.co/n8x6jg4J6l,7.23252E+17,Leave
"RT @markrlankester: The @LSEnews say 2008 recession, not EU migrants, are to blame for lower UK wages: https://t.co/93oICmRIsi  #EUref #Strâ€_",7.23251E+17,Remain
RT @CliffBeee: So now #projectfib aka @LeaveEUOfficial can drop their spurious Â£350m per week claim. #StrongerIn #leadnotleave  https://t.câ€_,7.23251E+17,Remain
RT @ExittheEU: How the EU makes privatisation permanent #LeaveEU #EUref https://t.co/GMI8amnq2j,7.23252E+17,Leave
"RT @danielrendall: A #VoteLeave account retweeted the tweet where I said I was mocking them. Did they read it, I wonder? #idiocy",7.23252E+17,Leave
"RT @raykay57: #VoteLeave should want the best person for the job when it comes to debating, &amp; a face for the campaign. That's @DanHannanMEPâ€_",7.23252E+17,Leave
"RT @K_Stefanczak: What a horribly xenophobic video for #VoteLeave campaign! Missing slogan ""Let's create British Empire again"" #Brexit httpâ€_",7.23252E+17,Leave
RT @mikepaterson: Imagine if we #VoteLeave on 23 June https://t.co/Bev5OTJ0gY,7.23252E+17,Leave
"RT @pperrin: MPs supporting #StrongerIn dont want to govern the UK, they want to be middle grade bank clerks. Their advice on #brexit is woâ€_",7.23251E+17,Remain
RT @lordtev: Yes I vote for Boris to leave Cornwall #StrongerIn #INtogether  https://t.co/6rmzUmqLWb,7.23251E+17,Remain
"RT @NickWeetch: Can anyone find me a sane #Brexit supporter? As far as I can see they are all nutjob right-wingers, pissing in the wind.
#Sâ€_",7.23251E+17,Remain
RT @StAndrewsSfB: The city will 'thrive' after #Brexit. Another strong economic case made to #VoteLeave https://t.co/OhXkbUSkqJ,7.23252E+17,Leave
"RT @cogitator99: @ajcdeane Only 16% of EU [mainly German] exports are to UK, 43% of UK exports are to EU -which side has most to lose? #Strâ€_",7.23251E+17,Remain
"RT @Y_Eurosceptics: In typical EU undemocratic fashion, Boris has no choice here... #VoteLeave  https://t.co/1WrFj4ikjE",7.23252E+17,Leave
"RT @Dean_Tonberry: All #voteleave #brexit have to do,a kind donation to me to buy my house &amp; you get what you want. Cud leave at click of fâ€_",7.23252E+17,Leave
"RT @UkipaLotMoreIan: Gordon Brown who robbed UK pensioners-who'd trust lying thief
NOT #strongerin #intogether #euref #Labour
@StrongerIn hâ€_",7.23251E+17,Remain
RT @angelneptustar: Cam too chicken to face @borisJohnson @Lee_Green_KMI #VoteRemain #borisjohnson #boris johnson https://t.co/yxajlgL7IV,7.23251E+17,Remain
RT @MrMrsButterball: HMRC: EU immigrants contributed more than 5x more in tax than they have received in benefits: Â£3.1bn vs. Â£556m #Strongâ€_,7.23251E+17,Remain
RT @Christi2024: Spread the Word https://t.co/lijMMzg3Ls #voteleave via @vote_leave,7.23252E+17,Leave
RT @SLATUKIP: Brexit: Leave camp divided over Irish border issues https://t.co/8uIvP4DpnA via @BelTel #Ukip #EuReferendum #StrongerIn,7.23251E+17,Remain
RT @Stronger_ln: Only via the EU can we tax our way to a cooler planet. #StrongerIn https://t.co/ArssYN6mee,7.23251E+17,Remain
RT @FalkirkLeave: The PM says he will not debate against 'Senior Tories' regarding #Brexit. Why is he running scared of his biggest opponenâ€_,7.23252E+17,Leave
RT @andyhar90372463: So Blair ( illegal war) and Brown ( bankrupt the UK) 'advises' UK to #Remain?Hmm! Best #VoteLeave perhaps? @sheralynloâ€_,7.23252E+17,Leave
RT @Yo_Mo_Fo: I see the #BankofEngland are today's #StrongerIn puppets. Wonder if they care to reflect on our prosperity had we joined theâ€_,7.23251E+17,Remain
RT @wride_nicholas: @StrongerInPress @BBCNewsChannel what misleading like the treasury's we will be 4300 quid worse off out?  #euref #Briteâ€_,7.23251E+17,Remain
"RT @RayPyngotes: REVEALED: How Britain could have COMPLETELY misplaced one MILLION migrants https://t.co/QTvA4k7OA9
FFS 
#Brexit #LeaveEU #â€_",7.23252E+17,Leave
"RT @Human2Being: ""You Have No Right To Destroy The Future of Our Children"" #EU #RefugeeCrisis #Brexit #LeaveEU  https://t.co/d0SAPclTic",7.23252E+17,Leave
"RT @UkipaLotMoreIan: Gordon Brown cost UK Taxpayers cÂ£5blln with his incompetence
NOT #strongerin #euref #Labour
@WMLabour @UKLabourIN 
httâ€_",7.23251E+17,Remain
"RT @Delna_42: If Cameron and Farage will debate on ITV, expect a comfortable win for Remain campaign! Farage is very unpopular outside UKIPâ€_",7.23251E+17,Remain
RT @trevdick: Wonderful Inspiring Speech by Tim Farron epitomising everything I believe. #INtogether #Farron #StrongerIN https://t.co/dkIG7â€_,7.23251E+17,Remain
"RT @theordinaryman2: Just think of all the jobs &amp; prosperity that will be created in Fishing Industry if UK #LeaveEU

 #WeWantOurFishBack hâ€_",7.23252E+17,Leave
"RT @LiberalIsland: I would be protected by the demands  of 500 million workers
Employers have no where in the EU to hide #strongerin https:â€_",7.23251E+17,Remain
"RT @London_First: As we say in the games industry we have to be in it to win it, says videogames creator @ian_livingstone #StrongerIn httpsâ€_",7.23251E+17,Remain
RT @LambethLabourIN: Our team is ready! #Lambeth #StrongerIn #Streatham #Vauxhall https://t.co/mmcyW4Ct9b,7.23251E+17,Remain
"RT @wride_nicholas: #strongerin euref 474k EU immigrants.  We are quite a small with high pop density,  this must be reduced.  It is illogiâ€_",7.23251E+17,Remain
RT @SuzanneEvans1: That's 1.5 million migrants we weren't told about. They could form a city almost as large as Manchester. #VoteLeave  httâ€_,7.23252E+17,Leave
RT @kcohwey: If #Cameron as PM governs 4 the best of the U.K. &amp; leaving #eu is such a bad thing. Y offer the #EUreferendum in the first plaâ€_,7.23252E+17,Leave
"RT @ciaran4320: #VoteLeave #Brexit They may know their asparagus, but certainly not their onions https://t.co/JtoVma44BM",7.23252E+17,Leave
"RT @RBLibDems: Detached from reality. Brexit billionaire looks forward to chaos. #SouthYorkshire #StrongerIn 

https://t.co/K51JL1jt1U",7.23251E+17,Remain
"RT @TheRedRag: Shut up David, you're scaring the children. Adults on the other hand are laughing at you. 
#VoteLeave https://t.co/RpUlcnhKtP",7.23252E+17,Leave
"RT @SpoonSense: #brexit to fix the potholes, traffic chaos and reduce rent &amp; property prices! #guaranteed #VoteLeave",7.23252E+17,Leave
RT @funnystory: Why won't @ITV let Borris debate with Cameron on leaving the EU? #LeaveEU #VoteLeave #fairness #CorruptionSummit,7.23252E+17,Leave
RT @IamMisterMR: @atticvs @racheljoyce @AdiosFreedom @Nigel_Farage #VoteLeave should keep farage front and centre to ensure we #remain #Strâ€_,7.23252E+17,Leave
RT @bitcoinagile: Tech threat: Brexit fears for digital #fintech #StrongerIn #startups #innovation #tech https://t.co/8R9fYQAYRf https://t.â€_,7.23251E+17,Remain
RT @proEUgirl: Pasty or patsy? #BoJo #Bremain #StrongerIn https://t.co/TSoOlrCful,7.23251E+17,Remain
